CRITICAL -- 2019-11-29 11:41:21,974 -- lol
INFO -- 2019-11-29 11:42:21,679 -- new None has joined the party
INFO -- 2019-11-29 11:42:21,743 -- new token has been generated
CRITICAL -- 2019-11-29 11:42:21,744 -- lol
INFO -- 2019-11-29 11:55:39,868 -- new shigerumiyamoto@gmail.com has joined the party
INFO -- 2019-11-29 11:55:39,931 -- new token has been generated
CRITICAL -- 2019-11-29 11:55:39,931 -- lol
INFO -- 2019-11-29 12:00:10,166 -- new shigerumiyamoto@gmail.com has joined the party
INFO -- 2019-11-29 12:00:10,231 -- new token has been generated
CRITICAL -- 2019-11-29 12:00:10,232 -- lol
INFO -- 2019-11-29 12:16:23,222 -- new shigerumiyamoto@gmail.com has joined the party
INFO -- 2019-11-29 12:16:23,288 -- new token has been generated
CRITICAL -- 2019-11-29 12:16:23,288 -- lol
INFO -- 2019-11-29 13:21:53,336 -- new shigerumiyamoto@gmail.com has joined the party
INFO -- 2019-11-29 13:21:53,396 -- new token has been generated
CRITICAL -- 2019-11-29 13:21:53,396 -- lol
INFO -- 2019-12-02 17:24:36,755 -- new guest2@gmail.com has joined the party
INFO -- 2019-12-02 17:24:36,989 -- new token has been generated
CRITICAL -- 2019-12-02 17:24:36,989 -- lol
